location,description,url,followers_count,friends_count,listedcount,created_at,favourites_count,verified,statuses_count,lang,default_profile,bot
375,0,70,9,93,0,475,0,0,8,10,1,1
162,364,66,263,13,16,325,0,0,452,10,0,1
187,326,242,8,0,4,1033,0,0,528,10,1,1
0,810,28,30,564,0,948,5,0,22,20,1,1
419,772,119,5528,117,197,622,71,0,5201,10,0,1
107,198,28,1,495,0,142,87,0,97,10,1,1
0,879,28,274,2,14,766,21,0,15340,10,1,1
122,722,141,1640,26,20,696,14,0,19151,10,0,1
0,654,28,689,4,35,608,1,0,46115,10,0,1
17,26,12,647,0,7,33,3,0,75704,1,1,1
290,160,219,1870,4,102,1005,3,0,16468,10,1,1
377,276,28,2,316,0,186,22,0,31,10,1,1
149,59,117,3523,2726,142,1021,32,0,18407,10,0,1
0,132,28,0,10,0,1040,56,0,79,10,1,1
324,635,28,2,362,0,189,34,0,39,10,1,1
77,688,28,33,13,10,168,0,0,1136,10,1,1
0,0,28,7,30,0,131,0,0,2,10,1,1
69,298,112,570,0,40,1027,1,0,5096,10,0,1
375,138,363,993,4992,20,199,8,0,108,10,0,1
0,96,40,3153,103,6295,173,0,0,288368,10,1,1
0,0,257,209,578,0,459,29,0,130,12,1,1
0,449,28,15659,0,380,641,0,0,849518,10,1,1
311,633,28,17,1926,1,76,279,0,369,10,0,1
204,653,331,99,563,1,290,1,0,46,10,1,1
0,548,98,34,1,8,726,0,0,41492,10,0,1
0,0,28,0,37,0,782,0,0,0,10,1,1
137,370,207,492,14,27,922,1,0,107,10,0,1
0,0,28,69,1513,0,651,0,0,1,10,1,1
0,677,28,6,0,6,1034,0,0,1066,10,1,1
159,399,169,43536,1,131,485,1,0,104405,10,0,1
219,112,330,712,623,38,375,1423,0,38905,10,0,1
0,0,28,153,0,7,701,0,0,144271,10,1,1
0,381,28,119,0,11,341,0,0,1761,10,1,1
0,781,28,9,1,9,965,0,0,2983,10,0,1
0,431,239,41,8,0,312,0,0,2,10,1,1
0,865,126,213,0,23,982,0,0,5685,10,1,1
0,715,28,463,14,28,80,4,0,2754,10,1,1
0,0,28,17,215,0,227,0,0,1,10,1,1
0,0,369,90,22,0,1,0,0,29724,0,1,1
194,150,28,93,95,15,585,0,0,23391,10,0,1
153,474,28,20,1867,0,55,286,0,397,10,0,1
362,660,315,153,2,9,857,3,0,391,10,1,1
0,75,171,119,1,21,635,0,0,18719,10,0,1
276,603,28,27,1928,0,49,314,0,355,10,0,1
0,0,369,0,25,0,25,0,0,0,1,1,1
0,384,28,12,0,4,481,0,0,251,10,1,1
188,466,337,978,2104,3,298,3,0,114,10,0,1
0,829,303,575,0,43,571,6,0,4204,10,0,1
0,859,28,1,69,0,506,0,0,11,10,1,1
0,0,28,0,67,0,661,0,0,0,10,1,1
0,0,28,1514,4218,2,371,523,0,522,10,1,1
0,766,51,55,2,4,642,0,0,759,10,1,1
8,11,1,41056,304,39,22,1009,0,63307,1,0,1
416,769,98,2097,4,62,771,0,0,47707,11,0,1
0,7,26,2399,4936,147,9,319,0,5581,1,0,1
0,79,283,27728,65,589,428,452,0,16231,10,0,1
190,519,37,42,0,3,122,1,0,964,10,1,1
0,279,251,110,111,14,578,0,0,3609,10,0,1
0,404,28,4294,7,41,719,134,0,72621,10,0,1
119,497,28,0,264,0,79,11,0,20,10,1,1
0,159,38,340,0,51,1051,0,0,188270,10,1,1
410,571,28,1902,3,447,157,11,0,95201,10,1,1
67,374,203,493,7,28,402,0,0,2964,10,0,1
0,117,156,39,0,14,975,0,0,208,10,0,1
0,576,28,190,657,31,163,39,0,594,10,0,1
51,396,159,557,3,6,418,11,0,440,10,0,1
342,311,56,1651,1,52,523,0,0,1599,10,1,1
0,0,28,202,8,23,396,0,0,2978,10,0,1
0,283,28,986,1,87,632,15734,0,30417,10,1,1
7,21,21,957,2826,39,18,3255,0,4413,1,0,1
169,201,28,3,343,0,183,37,0,41,10,1,1
0,430,28,0,148,0,755,7,0,17,10,1,1
0,807,28,372,4815,0,491,15,0,2,10,1,1
150,314,95,7503,0,122,124,1,0,108527,10,1,1
412,855,188,10407,11555,256,941,0,0,25783,10,0,1
0,636,98,1511,138,101,685,0,0,30161,11,0,1
0,878,187,29,1,9,703,0,0,105,10,1,1
29,320,28,253,0,37,683,0,0,40184,10,1,1
409,111,53,1174,19,58,890,23,0,1145,10,1,1
302,751,243,6805,88,25,1022,0,0,3272,10,1,1
125,210,28,1,280,0,88,19,0,16,10,1,1
0,687,28,943,1,75,849,0,0,14074,10,1,1
425,877,28,79,0,21,865,0,0,40308,10,0,1
0,218,28,302,1,53,751,0,0,2953,10,0,1
21,4,23,10684,158,31,34,41,1,91,1,1,1
173,76,28,75,0,7,669,0,0,6414,10,1,1
0,61,28,158,2410,0,581,0,0,1,10,1,1
0,880,28,7,1,8,761,0,0,5856,10,0,1
288,194,28,1,387,0,282,33,0,44,10,1,1
0,638,226,101,1,19,836,0,0,1281,10,1,1
0,148,348,133,271,0,401,39,0,18,10,0,1
284,852,28,280,0,24,646,0,0,717,10,1,1
341,246,140,299,1,21,655,0,0,3855,10,0,1
0,0,218,3738,7,86,944,24,0,59713,10,1,1
0,327,360,4,0,5,162,0,0,127,10,1,1
0,0,28,1,41,0,295,154,0,1,10,1,1
286,755,150,180,4,7,625,2,0,5265,10,0,1
0,208,28,280,0,28,1035,0,0,6413,10,1,1
349,786,28,36,1,7,1048,0,0,3649,10,0,1
229,532,33,632,0,42,952,0,0,2822,10,1,1
0,686,28,1,30,0,664,98,0,106,10,1,1
37,609,28,371,5,45,862,1,0,70202,10,0,1
0,313,28,17,564,0,643,0,0,4,10,1,1
0,0,28,20,287,0,220,2,0,1,9,1,1
0,868,28,412,15,32,614,0,0,46926,10,0,1
39,271,28,533,0,42,277,0,0,7145,10,1,1
297,753,28,2623,5,52,700,409,0,3952,10,0,1
240,340,28,202,1,28,855,0,0,1678,10,1,1
45,773,28,98,24,7,593,2,0,3336,10,1,1
0,695,28,694,0,54,480,0,0,22368,10,1,1
228,882,28,168,2,18,840,0,0,12406,10,1,1
0,853,28,147,0,31,1017,0,0,96,10,0,1
0,0,28,4087,1,5,594,1,0,3549,10,1,1
423,867,100,75,4,12,979,12,0,1770,10,0,1
261,435,28,8,669,1,452,133,0,177,10,1,1
0,745,28,237,1,32,587,0,0,27579,10,1,1
0,0,28,0,60,0,789,0,0,0,10,1,1
0,0,369,8,91,0,19,0,0,18,6,1,1
0,0,28,702,1359,4,296,0,0,94409,10,0,1
0,94,103,129,4,19,266,0,0,1168,10,1,1
0,63,28,292,2225,0,500,0,0,0,10,1,1
49,127,28,0,461,0,135,64,0,93,10,1,1
106,710,28,4,445,0,150,60,0,80,10,1,1
330,233,28,1,258,0,86,14,0,14,10,1,1
413,64,346,99,0,17,492,0,0,1665,10,0,1
0,719,28,66,2,24,996,0,0,432,10,1,1
16,5,14,752,0,4,5,86,0,21132,1,1,1
0,346,28,15,3,2,582,721,0,854,10,0,1
408,151,352,1902,94,98,879,5,0,21114,10,0,1
437,886,28,5744,3,112,648,2,0,105941,10,1,1
0,0,28,1,162,0,332,0,0,0,10,1,1
0,0,28,8,0,6,565,0,0,41,10,1,1
0,845,28,52,222,0,297,10,0,1,10,1,1
340,728,28,421,1636,34,765,0,0,4701,10,1,1
239,303,102,413,148,37,276,0,0,22,10,0,1
124,582,28,1479,3,11,555,19,0,32440,12,1,1
347,135,28,252,2,38,544,70,0,15823,10,0,1
97,181,110,163,206,11,356,12,0,502,10,1,1
0,0,28,3,30,0,116,0,0,1,10,1,1
0,179,306,65,0,21,634,0,0,10069,10,1,1
0,465,28,6766,3006,169,376,83,0,79860,10,0,1
0,513,28,1637,1770,18,264,2,0,66824,10,0,1
0,642,28,116,0,39,967,0,0,8421,10,1,1
204,0,28,24,712,1,423,2,0,22,11,1,1
168,593,28,239,344,15,385,0,0,9347,10,0,1
0,245,280,8073,1,118,573,0,0,29984,10,0,1
310,587,28,29,97,0,222,0,0,3,10,1,1
0,0,28,0,20,0,792,0,0,0,10,1,1
232,649,235,372,1136,1,106,1,0,46,10,0,1
0,207,28,6,0,5,590,0,0,2751,10,1,1
0,647,32,16748,41,11,959,20542,0,837,10,0,1
67,831,28,204,0,28,615,2,0,23502,10,0,1
243,490,46,12853,13,453,509,0,0,4874,10,1,1
334,235,282,16,3,5,628,1,0,119,10,0,1
242,136,245,592885,13699,13723,283,3716,1,51157,10,0,1
322,421,28,36,0,12,896,1,0,394,10,0,1
95,70,50,392,0,17,159,0,0,1325,10,1,1
301,378,317,5476,385,96,885,4,0,5846,12,1,1
233,423,28,22,2107,1,67,297,0,387,10,0,1
385,708,28,3,230,0,93,23,0,25,10,1,1
328,152,28,2,352,0,187,23,0,44,10,1,1
0,425,28,51,0,19,1047,0,0,13622,10,1,1
0,881,28,61,3,12,716,0,0,6000,10,0,1
73,851,28,3569,6,137,692,134,0,2459,10,0,1
213,468,28,2,262,0,94,13,0,19,10,1,1
152,885,28,11,201,0,464,26,0,5,10,1,1
11,32,11,1226,2636,24,13,25,0,664,1,0,1
110,613,28,1,455,0,127,72,0,121,10,1,1
0,167,28,57,1,10,426,0,0,79525,10,1,1
341,680,213,1211,1,35,873,0,0,160,10,1,1
332,595,28,0,338,0,178,32,0,35,10,1,1
0,0,28,0,98,0,243,0,0,2,10,1,1
0,297,365,131,1,26,134,0,0,1622,10,1,1
431,275,28,247,0,53,612,2,0,17811,10,0,1
0,606,101,85,13,2,548,1637,0,115,10,0,1
0,491,28,284,29,31,327,1,0,4865,10,1,1
0,180,48,5259,3881,65,336,83,0,545,10,0,1
0,803,28,176,16,25,758,4,0,5040,10,1,1
0,89,28,66,1,13,740,0,0,2989,10,1,1
0,580,350,36,0,9,260,0,0,416,10,1,1
170,88,28,633,43,65,1019,76,0,1627,10,1,1
0,0,28,7,163,0,315,0,0,1,10,1,1
0,808,28,55,1343,0,529,0,0,0,10,1,1
181,269,28,5,505,0,152,90,0,114,10,1,1
0,495,28,5730,951,223,421,3634,0,16205,10,0,1
123,105,28,4956,7,202,539,100,0,2179,10,1,1
248,525,28,2,350,0,174,20,0,21,10,1,1
341,843,28,533,2,34,897,2,0,1056,10,1,1
376,584,28,8,725,0,56,172,0,191,10,0,1
0,0,28,98,8,14,101,2,0,3375,10,1,1
0,841,28,29,0,16,527,0,0,2839,11,0,1
0,0,28,2,14,0,251,1,0,1,22,1,1
0,481,263,461,95,95,913,0,0,115356,12,1,1
205,696,152,601,0,53,474,0,0,24135,10,0,1
335,626,28,912,1164,56,722,3951,0,23106,10,0,1
0,100,28,236,0,26,408,0,0,9719,10,0,1
0,323,28,85,4707,0,984,2,0,4,10,1,1
381,436,99,14491,134,1229,429,2923,0,2497530,10,0,1
0,146,42,281,0,27,908,0,0,879,10,0,1
0,397,28,60,11,11,70,2,0,4882,10,1,1
339,215,28,10,1,4,861,0,0,787,10,0,1
87,507,184,174,6,13,72,0,0,1699,10,1,1
363,219,292,66,1801,1,462,0,0,30,10,1,1
0,543,28,148,0,21,468,0,0,12083,10,1,1
0,614,206,2047969,102396,13095,575,860,0,67905,10,0,1
111,310,244,326,947,0,233,0,0,13,10,1,1
307,533,28,2,353,0,111,18,0,30,10,1,1
239,237,252,15,134,0,331,0,0,3,10,0,1
126,622,28,445,4997,2,204,109,0,83,10,0,1
137,393,87,369,1,16,362,0,0,318279,10,0,1
0,857,260,8392,30,159,386,1361,0,5730,10,0,1
0,470,60,20723,3,159,867,33,0,663,10,0,1
0,0,28,0,30,0,795,0,0,0,10,1,1
180,784,28,2800,3049,19,769,20941,0,17985,10,0,1
0,733,111,939,0,21,736,1,0,626,10,1,1
0,85,28,4896,8,2186,721,57638,0,57640,10,0,1
100,133,28,1,331,1,177,15,0,29,10,1,1
184,693,28,500,0,24,330,0,0,5719,10,1,1
0,243,124,139,43,8,927,0,0,6345,10,0,1
0,883,28,5,0,2,156,0,0,424,10,0,1
93,277,28,1,498,0,482,103,0,102,10,1,1
175,335,28,30,0,8,978,0,0,11572,10,0,1
0,418,28,207,5,23,318,108,0,728,10,1,1
398,607,345,45,0,13,926,0,0,81,10,0,1
0,188,28,190,187,20,215,1,0,11079,10,0,1
308,0,28,38,113,0,147,1,0,1,10,1,1
33,452,28,197,0,82,725,0,0,684818,10,1,1
148,714,28,3,659,1,447,136,0,169,10,1,1
396,324,319,598,1,42,71,0,0,9684,11,1,1
223,190,80,88195,82994,1736,154,892,1,1933,10,1,1
0,256,367,132,0,31,983,0,0,14516,8,1,1
0,774,28,2,25,0,504,44,0,88,10,1,1
0,0,28,187,4271,0,562,51,0,165,10,1,1
0,0,28,8,5,6,645,0,0,27,10,1,1
0,711,28,879,1,151,351,2426,0,1217604,10,1,1
0,266,30,12,0,7,496,2,0,8637,10,1,1
0,0,28,9,25,0,752,400,0,385,19,1,1
0,815,28,6,36,0,723,77,0,151,10,1,1
0,166,28,0,32,0,993,59,0,82,10,1,1
50,211,28,1,337,0,196,38,0,30,10,1,1
439,410,118,211,1,31,679,0,0,46816,10,1,1
350,731,128,113,0,32,599,0,0,25120,10,0,1
91,709,28,0,235,0,84,14,0,14,10,1,1
0,663,28,1810,1,36,1012,24,0,35024,10,1,1
0,765,28,58,0,18,718,0,0,7839,10,1,1
0,752,104,86,28,16,864,127,0,211,10,0,1
0,443,28,17,4,4,115,0,0,228,10,1,1
0,804,28,14,593,0,798,1,0,4,10,1,1
62,295,28,12,742,1,53,148,0,175,10,0,1
279,377,28,35,2118,5,63,364,0,570,10,0,1
0,0,28,5,69,0,663,2,0,0,10,1,1
0,806,28,86,433,1,709,174,0,26,10,1,1
0,68,57,29,10,16,705,0,0,5197,10,1,1
321,60,304,1254,2,2852,560,3,0,335950,10,1,1
433,846,28,36,0,12,675,879,0,467,10,1,1
0,213,316,252,6,17,577,11,0,236,10,1,1
0,52,28,2,52,0,809,87,0,128,10,1,1
109,414,28,0,308,0,213,21,0,24,10,1,1
0,409,28,52,1,15,883,0,0,15085,10,0,1
0,0,28,0,30,0,788,0,0,0,10,1,1
418,866,28,39,0,12,745,0,0,9729,10,1,1
26,35,10,1421,2157,25,11,166,0,169,1,0,1
142,723,36,1701,1,145,517,1,0,3105,10,1,1
0,0,28,0,20,0,786,0,0,0,10,1,1
392,782,28,17,0,6,920,0,0,1859,10,1,1
0,596,211,82,1,18,797,0,0,2087,10,1,1
215,433,28,1,398,0,285,31,0,61,10,1,1
0,0,28,10,168,1,107,18,0,4,10,1,1
405,463,28,69,1193,0,749,2,0,10,10,0,1
0,0,28,4,140,0,580,0,0,1,10,1,1
257,856,28,21,1880,5,52,305,0,454,10,0,1
29,460,177,292,0,30,684,0,0,40166,10,1,1
0,799,28,4419,1,129,515,12,0,10626,10,1,1
0,0,28,0,18,0,785,0,0,0,10,1,1
0,334,94,1786,2525,21,652,1,0,136932,10,0,1
397,238,116,148,1,18,799,0,0,178,10,0,1
0,285,167,286,0,22,1052,0,0,94599,10,1,1
0,0,28,85,0,5,392,0,0,205,10,1,1
0,86,28,276,264,27,420,2,0,83013,10,0,1
0,331,28,206,124,0,317,0,0,4,10,1,1
40,257,234,81,1,10,530,0,0,2459,10,1,1
0,290,62,74704,1,618,550,5919,0,49429,10,0,1
0,679,340,212,2,54,728,0,0,8468,10,1,1
34,589,236,116,1,9,815,0,0,4659,10,1,1
56,406,81,371,1,32,989,2,0,3849,10,1,1
0,854,28,12,1053,0,928,0,0,2,10,1,1
167,67,217,156,2,12,796,4,0,7075,10,0,1
0,511,28,17,0,6,637,1,0,0,8,1,1
31,516,136,2482,1,94,1026,4,0,5597,10,0,1
0,826,28,50,0,2,537,1,0,1557,10,1,1
0,691,28,404,621,9,449,12,0,1169,10,1,1
229,523,28,175,2,20,235,2,0,8843,10,1,1
0,0,28,0,70,0,781,0,0,0,10,1,1
249,453,28,5,0,4,307,0,0,4472,10,1,1
0,77,28,662,0,67,467,0,0,56625,10,0,1
134,422,28,4,492,0,151,57,0,76,10,1,1
0,0,369,7,31,0,15,19,0,69,1,1,1
120,740,28,11,1983,0,62,323,0,397,10,0,1
0,890,28,152,374,0,844,47,0,1044,7,1,1
0,0,28,3,29,0,193,0,0,1,10,1,1
318,661,182,1264,1288,115,1041,0,0,24133,10,1,1
0,118,28,128,1,16,465,1,0,3533,10,0,1
0,315,28,0,26,0,998,47,0,65,10,1,1
0,343,28,46,20,8,964,0,0,516,10,1,1
0,38,369,684,68,5,16,6,0,9645,4,0,1
140,665,28,7,0,5,267,0,0,104,13,0,1
0,0,28,20,300,0,258,6,0,1,10,1,1
346,556,72,3745,0,171,579,0,0,3063,10,1,1
238,227,222,35906,35744,130,343,864,0,3027,10,1,1
244,701,28,78,2,5,450,1,0,677,10,1,1
0,367,28,68,0,18,572,2,0,2407,10,1,1
0,873,28,51,2,24,737,4,0,18514,10,1,1
0,813,28,12349,5,142,760,203,0,20547,10,0,1
0,0,28,65,220,5,472,1,0,24,10,1,1
198,0,28,4,70,0,226,1,0,1,10,0,1
129,342,109,627,10,26,644,6,0,1634,10,0,1
