screen_name,location,followers_count,friends_count,listed_count,favorites_count,verified,statuses_count,status,name
ChrisDHamby,,4475,400,222,69,TRUE,2988,"{'created_at': 'Tue Apr 11 19:29:49 +0000 2017', 'id': 851879983396130816, 'id_str': '851879983396130816', 'text': 'RT @beisan: I have the really cool honour of having interviewed a Pulitzer Prize finalist on his work... Congrats @ChrisDHamby! https://t.c‰Û_', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'beisan', 'name': 'Beisan', 'id': 31610556, 'id_str': '31610556', 'indices': [3, 10]}, {'screen_name': 'ChrisDHamby', 'name': 'Chris Hamby', 'id': 196267596, 'id_str': '196267596', 'indices': [114, 126]}], 'urls': []}, 'source': '<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'retweeted_status': {'created_at': 'Tue Apr 11 18:52:00 +0000 2017', 'id': 851870466457423873, 'id_str': '851870466457423873', 'text': 'I have the really cool honour of having interviewed a Pulitzer Prize finalist on his work... Congrats @ChrisDHamby! https://t.co/7uwJlbPWOA', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ChrisDHamby', 'name': 'Chris Hamby', 'id': 196267596, 'id_str': '196267596', 'indices': [102, 114]}], 'urls': [{'url': 'https://t.co/7uwJlbPWOA', 'expanded_url': 'https://soundcloud.com/cigionline/the-day-millennials-discovered-investor-state-arbitration', 'display_url': 'soundcloud.com/cigionline/the‰Û_', 'indices': [116, 139]}]}, 'source': '<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 1, 'favorite_count': 3, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'en'}, 'is_quote_status': False, 'retweet_count': 1, 'favorite_count': 0, 'favorited': False, 'retweeted': False, 'lang': 'en'}",Chris Hamby
claire_bio_bot,None,83,14,3,None,None,62887,"{u'lang': u'ja', u'text': u'\u30b7\u30a7\u30ea\u30fc\u3001\u4f55\u3092\uff1f', u'created_at': u'Sun Apr 09 21:54:07 +0000 2017', u'hashtags': [], u'user_mentions': [], u'source': u'<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>', u'id_str': u'851191518966697984', u'urls': [], u'id': 851191518966697984}",ã‚¯ãƒ¬ã‚¢ãƒ»ãƒ¬ãƒƒãƒ‰ãƒ•ã‚£ãƒ¼ãƒ«ãƒ‰
ClemmenceITBot,,36,17,1,5,FALSE,3863,"{'favorite_count': 0, 'id': 639229538367602688, 'text': 'So many nice people', 'is_quote_status': False, 'coordinates': None, 'in_reply_to_screen_name': None, 'retweeted': False, 'source': '<a href=""https://www.twitter.com/ITBot_Central"" rel=""nofollow"">ITBot_Central by C7C</a>', 'contributors': None, 'id_str': '639229538367602688', 'in_reply_to_user_id': None, 'favorited': False, 'entities': {'urls': [], 'user_mentions': [], 'hashtags': [], 'symbols': []}, 'place': None, 'truncated': False, 'in_reply_to_status_id_str': None, 'lang': 'en', 'geo': None, 'created_at': 'Thu Sep 03 00:12:52 +0000 2015', 'in_reply_to_status_id': None, 'retweet_count': 0, 'in_reply_to_user_id_str': None}",Jake_ITBot
CNN,None,33348905,1120,125554,None,TRUE,125601,"{u'lang': u'en', u'text': u'Jeep to reveal 707-horsepower SUV https://t.co/XbD9Zg8FUV https://t.co/KHu5FvBJgD', u'created_at': u'Sun Apr 09 21:44:02 +0000 2017', u'hashtags': [], u'user_mentions': [], u'source': u'<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>', u'id_str': u'851188981010137088', u'urls': [{u'url': u'https://t.co/XbD9Zg8FUV', u'expanded_url': u'http://cnn.it/2ofWQeY'}], u'media': [{u'expanded_url': u'https://twitter.com/CNN/status/851188981010137088/photo/1', u'display_url': u'pic.twitter.com/KHu5FvBJgD', u'url': u'https://t.co/KHu5FvBJgD', u'media_url_https': u'https://pbs.twimg.com/media/C9AH3dlUwAAJdEJ.jpg', u'sizes': {u'small': {u'h': 383, u'resize': u'fit', u'w': 680}, u'large': {u'h': 439, u'resize': u'fit', u'w': 780}, u'medium': {u'h': 439, u'resize': u'fit', u'w': 780}, u'thumb': {u'h': 150, u'resize': u'crop', u'w': 150}}, u'type': u'photo', u'id': 851188978988400640, u'media_url': u'http://pbs.twimg.com/media/C9AH3dlUwAAJdEJ.jpg'}], u'retweet_count': 64, u'id': 851188981010137088, u'favorite_count': 147}",CNN
cnnbrk,Everywhere,47531477,122,180055,None,TRUE,54875,"{u'lang': u'en', u'truncated': True, u'text': u'Coalition troops and allied Syrian opposition forces repel ISIS attack on joint base, coalition says.\u2026 https://t.co/Ge8JFt4KRx', u'created_at': u'Sun Apr 09 20:51:21 +0000 2017', u'hashtags': [], u'user_mentions': [], u'source': u'<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>', u'id_str': u'851175726409756673', u'urls': [{u'url': u'https://t.co/Ge8JFt4KRx', u'expanded_url': u'https://twitter.com/i/web/status/851175726409756673'}], u'retweet_count': 146, u'id': 851175726409756673, u'favorite_count': 246}",CNN Breaking News
cocoachan_bot,None,None,None,None,None,None,2009,"{u'lang': u'ja', u'text': u'\u30db\u30fc\u30db\u30fc\u30db\u30c3\u30db\u30fc', u'created_at': u'Sun Apr 09 21:54:08 +0000 2017', u'hashtags': [], u'user_mentions': [], u'source': u'<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>', u'id_str': u'851191522749849600', u'urls': [], u'id': 851191522749849600}",ä¹–é›¢æ€§ã“ã“ã‚
coldplay,Harveytown,19740200,1510,47944,None,TRUE,6454,"{u'lang': u'en', u'text': u'Everglowing in Thailand. A #ColdplayBangkok https://t.co/rmkXqbIIga', u'created_at': u'Fri Apr 07 15:01:53 +0000 2017', u'hashtags': [{u'text': u'ColdplayBangkok'}], u'user_mentions': [], u'source': u'<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', u'id_str': u'850363002025123840', u'urls': [], u'media': [{u'expanded_url': u'https://twitter.com/coldplay/status/850363002025123840/video/1', u'display_url': u'pic.twitter.com/rmkXqbIIga', u'url': u'https://t.co/rmkXqbIIga', u'media_url_https': u'https://pbs.twimg.com/ext_tw_video_thumb/850362777592094720/pu/img/UZqj1UM69LQNcJUx.jpg', u'video_info': {u'aspect_ratio': [1, 1], u'duration_millis': 33189, u'variants': [{u'url': u'https://video.twimg.com/ext_tw_video/850362777592094720/pu/vid/240x240/RCVEjB8LMIo_0mEJ.mp4', u'bitrate': 320000, u'content_type': u'video/mp4'}, {u'url': u'https://video.twimg.com/ext_tw_video/850362777592094720/pu/vid/720x720/CGMvnio2x8rJSf2v.mp4', u'bitrate': 1280000, u'content_type': u'video/mp4'}, {u'url': u'https://video.twimg.com/ext_tw_video/850362777592094720/pu/vid/480x480/winacSYs4eIhlTS4.mp4', u'bitrate': 832000, u'content_type': u'video/mp4'}, {u'url': u'https://video.twimg.com/ext_tw_video/850362777592094720/pu/pl/2oSJDO9qcHywDgUY.m3u8', u'content_type': u'application/x-mpegURL'}]}, u'sizes': {u'small': {u'h': 340, u'resize': u'fit', u'w': 340}, u'large': {u'h': 720, u'resize': u'fit', u'w': 720}, u'medium': {u'h': 600, u'resize': u'fit', u'w': 600}, u'thumb': {u'h': 150, u'resize': u'crop', u'w': 150}}, u'type': u'video', u'id': 850362777592094720, u'media_url': u'http://pbs.twimg.com/ext_tw_video_thumb/850362777592094720/pu/img/UZqj1UM69LQNcJUx.jpg'}], u'retweet_count': 16351, u'id': 850363002025123840, u'favorite_count': 15529}",Coldplay
ComedianJerryG,Big Bad Huntington Park!,1216,300,7,273,FALSE,2879,"{'place': None, 'retweeted': False, 'favorited': False, 'in_reply_to_user_id_str': None, 'in_reply_to_status_id_str': None, 'geo': None, 'coordinates': None, 'in_reply_to_status_id': None, 'in_reply_to_user_id': None, 'truncated': False, 'is_quote_status': False, 'in_reply_to_screen_name': None, 'id_str': '850515544801411072', 'text': 'If there was ever a time I should be allowed to start for the LA Lakers NOW is that time. #TankToWin #NeedToLose #Tank4Ball', 'contributors': None, 'entities': {'symbols': [], 'urls': [], 'hashtags': [{'text': 'TankToWin', 'indices': [90, 100]}, {'text': 'NeedToLose', 'indices': [101, 112]}, {'text': 'Tank4Ball', 'indices': [113, 123]}], 'user_mentions': []}, 'favorite_count': 0, 'source': '<a href=""http://www.cloudhopper.com/"" rel=""nofollow"">Cloudhopper</a>', 'created_at': 'Sat Apr 08 01:08:02 +0000 2017', 'id': 850515544801411072, 'lang': 'en', 'retweet_count': 0}",Jerry Garcia
ConanOBrien,Los Angeles,22865670,1,88697,None,TRUE,2927,"{u'lang': u'en', u'text': u'Sometimes I think the bulk packages at Costco are too large. Who needs 12 condoms?!', u'created_at': u'Sun Apr 09 20:01:10 +0000 2017', u'hashtags': [], u'user_mentions': [], u'source': u'<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>', u'id_str': u'851163094340468738', u'urls': [], u'retweet_count': 561, u'id': 851163094340468738, u'favorite_count': 3658}",Conan O'Brien
cooperhewittbot,,583,1,50,2,FALSE,3837,"{'favorite_count': 1, 'id': 851376743365701633, 'text': 'Fragment, 17th century https://t.co/ZxhcOw02Ij https://t.co/uWzyl9fzTj', 'is_quote_status': False, 'coordinates': None, 'in_reply_to_screen_name': None, 'retweeted': False, 'source': '<a href=""http://127.0.0.1/"" rel=""nofollow"">Cooper-Hewitt Bot</a>', 'contributors': None, 'id_str': '851376743365701633', 'in_reply_to_user_id': None, 'favorited': False, 'extended_entities': {'media': [{'sizes': {'small': {'h': 680, 'w': 680, 'resize': 'fit'}, 'large': {'h': 1024, 'w': 1024, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}, 'medium': {'h': 1024, 'w': 1024, 'resize': 'fit'}}, 'url': 'https://t.co/uWzyl9fzTj', 'id': 851376741314699269, 'expanded_url': 'https://twitter.com/cooperhewittbot/status/851376743365701633/photo/1', 'id_str': '851376741314699269', 'media_url_https': 'https://pbs.twimg.com/media/C9CyoqwXoAU1RKW.jpg', 'display_url': 'pic.twitter.com/uWzyl9fzTj', 'media_url': 'http://pbs.twimg.com/media/C9CyoqwXoAU1RKW.jpg', 'indices': [47, 70], 'type': 'photo'}]}, 'entities': {'urls': [{'url': 'https://t.co/ZxhcOw02Ij', 'expanded_url': 'http://cprhw.tt/o/2AWai', 'indices': [23, 46], 'display_url': 'cprhw.tt/o/2AWai'}], 'user_mentions': [], 'hashtags': [], 'symbols': [], 'media': [{'sizes': {'small': {'h': 680, 'w': 680, 'resize': 'fit'}, 'large': {'h': 1024, 'w': 1024, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}, 'medium': {'h': 1024, 'w': 1024, 'resize': 'fit'}}, 'url': 'https://t.co/uWzyl9fzTj', 'id': 851376741314699269, 'expanded_url': 'https://twitter.com/cooperhewittbot/status/851376743365701633/photo/1', 'id_str': '851376741314699269', 'media_url_https': 'https://pbs.twimg.com/media/C9CyoqwXoAU1RKW.jpg', 'display_url': 'pic.twitter.com/uWzyl9fzTj', 'media_url': 'http://pbs.twimg.com/media/C9CyoqwXoAU1RKW.jpg', 'indices': [47, 70], 'type': 'photo'}]}, 'place': None, 'truncated': False, 'in_reply_to_status_id_str': None, 'lang': 'en', 'geo': None, 'created_at': 'Mon Apr 10 10:10:08 +0000 2017', 'in_reply_to_status_id': None, 'possibly_sensitive': False, 'retweet_count': 0, 'in_reply_to_user_id_str': None}",Cooper Hewitt Bot
cora,,2172,1681,116,132,TRUE,76,"{'created_at': 'Thu Mar 30 16:07:09 +0000 2017', 'id': 847480323331956736, 'id_str': '847480323331956736', 'text': 'Immigrant workers at this Queens bakery are writing a new organizing playbook: https://t.co/yFpzqonHxW', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/yFpzqonHxW', 'expanded_url': 'https://www.buzzfeed.com/coralewis/these-bakery-workers-are-taking-on-dhs?utm_term=.voBwN8Lm#.ibWVQJ3O', 'display_url': 'buzzfeed.com/coralewis/thes‰Û_', 'indices': [79, 102]}]}, 'source': '<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 10, 'favorite_count': 8, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'en'}",Cora Lewis
coreykim_ITBot,,15,2,0,0,FALSE,374,"{'favorite_count': 1, 'id': 616763899635965952, 'text': 'The inner workings of my ears and nose', 'is_quote_status': False, 'coordinates': None, 'in_reply_to_screen_name': None, 'retweeted': False, 'source': '<a href=""https://www.twitter.com/ITBot_Central"" rel=""nofollow"">ITBot_Central</a>', 'contributors': None, 'id_str': '616763899635965952', 'in_reply_to_user_id': None, 'favorited': False, 'entities': {'urls': [], 'user_mentions': [], 'hashtags': [], 'symbols': []}, 'place': None, 'truncated': False, 'in_reply_to_status_id_str': None, 'lang': 'en', 'geo': None, 'created_at': 'Fri Jul 03 00:22:27 +0000 2015', 'in_reply_to_status_id': None, 'retweet_count': 0, 'in_reply_to_user_id_str': None}",i was an itbot
courtgay_eBooks,,47,2,0,19,FALSE,4650,"{'favorite_count': 0, 'id': 544897246333267969, 'text': 'why would u want a giant poster i swear im getting with it if we r friends ://', 'is_quote_status': False, 'coordinates': None, 'in_reply_to_screen_name': None, 'retweeted': False, 'source': '<a href=""https://www.twitter.com/eBooks_Central"" rel=""nofollow"">courtgay_eBooks</a>', 'contributors': None, 'id_str': '544897246333267969', 'in_reply_to_user_id': None, 'favorited': False, 'entities': {'urls': [], 'user_mentions': [], 'hashtags': [], 'symbols': []}, 'place': None, 'truncated': False, 'in_reply_to_status_id_str': None, 'lang': 'en', 'geo': None, 'created_at': 'Tue Dec 16 16:50:01 +0000 2014', 'in_reply_to_status_id': None, 'retweet_count': 0, 'in_reply_to_user_id_str': None}",$$courtnei_eBooks$$
CplJager_ITBot,,19,2,1,11,FALSE,20645,"{'favorite_count': 0, 'id': 639228298413871104, 'text': 'Doing a paper for class on the big screen.', 'is_quote_status': False, 'coordinates': None, 'in_reply_to_screen_name': None, 'retweeted': False, 'source': '<a href=""https://www.twitter.com/ITBot_Central"" rel=""nofollow"">ITBot_Central by C7C</a>', 'contributors': None, 'id_str': '639228298413871104', 'in_reply_to_user_id': None, 'favorited': False, 'entities': {'urls': [], 'user_mentions': [], 'hashtags': [], 'symbols': []}, 'place': None, 'truncated': False, 'in_reply_to_status_id_str': None, 'lang': 'en', 'geo': None, 'created_at': 'Thu Sep 03 00:07:57 +0000 2015', 'in_reply_to_status_id': None, 'retweet_count': 0, 'in_reply_to_user_id_str': None}",Charles_ITBot
Cristiano,Madrid,51136416,95,86672,None,TRUE,2847,"{u'lang': u'und', u'text': u'\U0001f440\U0001f44c\U0001f3fc https://t.co/hb5Ge5epqg', u'created_at': u'Fri Apr 07 18:34:52 +0000 2017', u'hashtags': [], u'user_mentions': [], u'source': u'<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', u'id_str': u'850416602805829633', u'urls': [], u'media': [{u'expanded_url': u'https://twitter.com/Cristiano/status/850416602805829633/photo/1', u'display_url': u'pic.twitter.com/hb5Ge5epqg', u'url': u'https://t.co/hb5Ge5epqg', u'media_url_https': u'https://pbs.twimg.com/media/C81JY0CWAAEKh5s.jpg', u'sizes': {u'small': {u'h': 680, u'resize': u'fit', u'w': 553}, u'large': {u'h': 923, u'resize': u'fit', u'w': 750}, u'medium': {u'h': 923, u'resize': u'fit', u'w': 750}, u'thumb': {u'h': 150, u'resize': u'crop', u'w': 150}}, u'type': u'photo', u'id': 850416595277053953, u'media_url': u'http://pbs.twimg.com/media/C81JY0CWAAEKh5s.jpg'}], u'retweet_count': 4106, u'id': 850416602805829633, u'favorite_count': 29284}",Cristiano Ronaldo
CrystalMoselle,Coasting,3928,611,0,775,FALSE,3771,"{'place': {'attributes': {}, 'country_code': 'US', 'name': 'Los Angeles', 'contained_within': [], 'full_name': 'Los Angeles, CA', 'url': 'https://api.twitter.com/1.1/geo/id/3b77caf94bfc81fe.json', 'id': '3b77caf94bfc81fe', 'bounding_box': {'coordinates': [[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]], 'type': 'Polygon'}, 'place_type': 'city', 'country': 'United States'}, 'retweeted': False, 'favorited': False, 'in_reply_to_user_id_str': None, 'in_reply_to_status_id_str': None, 'quoted_status_id_str': '850037896425857024', 'geo': None, 'coordinates': None, 'quoted_status_id': 850037896425857024, 'in_reply_to_user_id': None, 'truncated': False, 'is_quote_status': True, 'in_reply_to_screen_name': None, 'id_str': '850348463636094976', 'text': 'Vote for @LaSkateKitchen in Dazed 100!  https://t.co/tvertUexFR', 'contributors': None, 'entities': {'symbols': [], 'urls': [{'url': 'https://t.co/tvertUexFR', 'expanded_url': 'https://twitter.com/dazed/status/850037896425857024', 'indices': [40, 63], 'display_url': 'twitter.com/dazed/status/8â€¦'}], 'hashtags': [], 'user_mentions': [{'id_str': '777321381746839552', 'name': 'TheSkateKitchen', 'screen_name': 'LaSkateKitchen', 'id': 777321381746839552, 'indices': [9, 24]}]}, 'favorite_count': 6, 'source': '<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', 'possibly_sensitive': False, 'created_at': 'Fri Apr 07 14:04:07 +0000 2017', 'in_reply_to_status_id': None, 'id': 850348463636094976, 'lang': 'en', 'retweet_count': 1}",CrystalMoselle
csmcdaniel,"New York, NY",5551,1111,324,5812,TRUE,13041,"{'created_at': 'Tue Apr 11 15:21:53 +0000 2017', 'id': 851817586652303361, 'id_str': '851817586652303361', 'text': 'Fair point https://t.co/NYCvVGHoZs', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/NYCvVGHoZs', 'expanded_url': 'https://twitter.com/chrisgeidner/status/851817411737157632', 'display_url': 'twitter.com/chrisgeidner/s‰Û_', 'indices': [11, 34]}]}, 'source': '<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': True, 'quoted_status_id': 851817411737157632, 'quoted_status_id_str': '851817411737157632', 'retweet_count': 0, 'favorite_count': 0, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'en'}",Chris McDaniel
cyberprefixer,,1671,1,96,2,FALSE,27724,"{'favorite_count': 0, 'id': 851434608788992000, 'text': 'Trump administration sends mixed cybersignals on Syria ahead of G7 cybermeeting', 'is_quote_status': False, 'coordinates': None, 'in_reply_to_screen_name': None, 'retweeted': False, 'source': '<a href=""http://www.mollywhite.net"" rel=""nofollow"">CyberPrefixer</a>', 'contributors': None, 'id_str': '851434608788992000', 'in_reply_to_user_id': None, 'favorited': False, 'entities': {'urls': [], 'user_mentions': [], 'hashtags': [], 'symbols': []}, 'place': None, 'truncated': False, 'in_reply_to_status_id_str': None, 'lang': 'en', 'geo': None, 'created_at': 'Mon Apr 10 14:00:04 +0000 2017', 'in_reply_to_status_id': None, 'retweet_count': 0, 'in_reply_to_user_id_str': None}",CyberPrefixer
DalaiLamaBot,,1895,36,9,0,FALSE,2467,"{'favorite_count': 0, 'id': 851374457507663874, 'text': 'Together with material development, we need spiritual development so that inner peace and social harmony can be experienced.', 'is_quote_status': False, 'coordinates': None, 'in_reply_to_screen_name': None, 'retweeted': False, 'source': '<a href=""http://twtbot.net"" rel=""nofollow"">twtbot-net3</a>', 'contributors': None, 'id_str': '851374457507663874', 'in_reply_to_user_id': None, 'favorited': False, 'entities': {'urls': [], 'user_mentions': [], 'hashtags': [], 'symbols': []}, 'place': None, 'truncated': False, 'in_reply_to_status_id_str': None, 'lang': 'en', 'geo': None, 'created_at': 'Mon Apr 10 10:01:03 +0000 2017', 'in_reply_to_status_id': None, 'retweet_count': 0, 'in_reply_to_user_id_str': None}",Dalai Lama Bot
DaneCook,"Los Angeles, CA",3459684,1134,19861,2787,TRUE,14182,"{'place': {'attributes': {}, 'country_code': 'US', 'name': 'West Hollywood', 'contained_within': [], 'full_name': 'West Hollywood, CA', 'url': 'https://api.twitter.com/1.1/geo/id/1927193c57f35d51.json', 'id': '1927193c57f35d51', 'bounding_box': {'coordinates': [[[-118.3959042, 34.075963], [-118.3433861, 34.075963], [-118.3433861, 34.098056], [-118.3959042, 34.098056]]], 'type': 'Polygon'}, 'place_type': 'city', 'country': 'United States'}, 'retweeted': False, 'favorited': False, 'in_reply_to_user_id_str': None, 'in_reply_to_status_id_str': None, 'geo': {'coordinates': [34.0952208, -118.37310877], 'type': 'Point'}, 'coordinates': {'coordinates': [-118.37310877, 34.0952208], 'type': 'Point'}, 'in_reply_to_status_id': None, 'in_reply_to_user_id': None, 'truncated': False, 'is_quote_status': False, 'in_reply_to_screen_name': None, 'id_str': '851245849212579842', 'text': '1st off.. wait for it. \n2nd.. when you have no lyrics you use ""motherfucker.""\n3rd.. #noshirt @â€¦ https://t.co/JGkjKCBZiq', 'contributors': None, 'entities': {'symbols': [], 'urls': [{'url': 'https://t.co/JGkjKCBZiq', 'expanded_url': 'https://www.instagram.com/p/BSr7pq9gEms/', 'indices': [96, 119], 'display_url': 'instagram.com/p/BSr7pq9gEms/'}], 'hashtags': [{'text': 'noshirt', 'indices': [84, 92]}], 'user_mentions': []}, 'favorite_count': 47, 'source': '<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>', 'possibly_sensitive': False, 'created_at': 'Mon Apr 10 01:30:00 +0000 2017', 'id': 851245849212579842, 'lang': 'en', 'retweet_count': 7}",Dane Cook
danieltosh,beach,25863696,130,39112,None,TRUE,13351,"{u'lang': u'en', u'text': u'new #tosh now!! watch and keep rewinding over and over again till you memorize it!', u'created_at': u'Wed Apr 05 01:58:50 +0000 2017', u'hashtags': [{u'text': u'tosh'}], u'user_mentions': [], u'source': u'<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>', u'id_str': u'849441167628525568', u'urls': [], u'retweet_count': 65, u'id': 849441167628525568, u'favorite_count': 514}",daniel tosh
Dantethecomic,Director of Bro What Happened?,61464,41274,174,8878,FALSE,15856,"{'place': None, 'retweeted_status': {'place': None, 'retweeted': False, 'favorited': False, 'in_reply_to_user_id_str': None, 'in_reply_to_status_id_str': None, 'geo': None, 'coordinates': None, 'in_reply_to_status_id': None, 'in_reply_to_user_id': None, 'truncated': False, 'is_quote_status': False, 'in_reply_to_screen_name': None, 'id_str': '851132991548084225', 'text': ""In #Georgia, a #Democrat's 'Make #Trump Furious' campaign rattles #Republicans  https://t.co/hlizxPdduy"", 'contributors': None, 'entities': {'symbols': [], 'urls': [{'url': 'https://t.co/hlizxPdduy', 'expanded_url': 'https://apple.news/AMnEont-jTFWuQ7W9G8lw9Q', 'indices': [80, 103], 'display_url': 'apple.news/AMnEont-jTFWuQâ€¦'}], 'hashtags': [{'text': 'Georgia', 'indices': [3, 11]}, {'text': 'Democrat', 'indices': [15, 24]}, {'text': 'Trump', 'indices': [33, 39]}, {'text': 'Republicans', 'indices': [66, 78]}], 'user_mentions': []}, 'favorite_count': 0, 'source': '<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', 'possibly_sensitive': False, 'created_at': 'Sun Apr 09 18:01:33 +0000 2017', 'id': 851132991548084225, 'lang': 'en', 'retweet_count': 3}, 'retweeted': False, 'favorited': False, 'in_reply_to_user_id_str': None, 'in_reply_to_status_id_str': None, 'geo': None, 'coordinates': None, 'in_reply_to_status_id': None, 'in_reply_to_user_id': None, 'truncated': False, 'is_quote_status': False, 'in_reply_to_screen_name': None, 'id_str': '851134069836402688', 'text': ""RT @abujibranmusic: In #Georgia, a #Democrat's 'Make #Trump Furious' campaign rattles #Republicans  https://t.co/hlizxPdduy"", 'contributors': None, 'entities': {'symbols': [], 'urls': [{'url': 'https://t.co/hlizxPdduy', 'expanded_url': 'https://apple.news/AMnEont-jTFWuQ7W9G8lw9Q', 'indices': [100, 123], 'display_url': 'apple.news/AMnEont-jTFWuQâ€¦'}], 'hashtags': [{'text': 'Georgia', 'indices': [23, 31]}, {'text': 'Democrat', 'indices': [35, 44]}, {'text': 'Trump', 'indices': [53, 59]}, {'text': 'Republicans', 'indices': [86, 98]}], 'user_mentions': [{'id_str': '15689824', 'name': 'Music4TheRevolution', 'screen_name': 'abujibranmusic', 'id': 15689824, 'indices': [3, 18]}]}, 'favorite_count': 0, 'source': '<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', 'possibly_sensitive': False, 'created_at': 'Sun Apr 09 18:05:50 +0000 2017', 'id': 851134069836402688, 'lang': 'en', 'retweet_count': 3}",Dantethecomic
DarrenAronofsky,earth,227561,318,2335,117,TRUE,1898,"{'place': None, 'retweeted_status': {'place': None, 'retweeted': False, 'favorited': False, 'in_reply_to_user_id_str': None, 'in_reply_to_status_id_str': None, 'geo': None, 'coordinates': None, 'in_reply_to_status_id': None, 'in_reply_to_user_id': None, 'truncated': False, 'is_quote_status': False, 'in_reply_to_screen_name': None, 'id_str': '850383177445031940', 'text': ""Kentucky Coal Mining Museum will now run on solar power--in order to save money. 'A little ironic,' says director. https://t.co/WYMTKXikbX"", 'contributors': None, 'entities': {'symbols': [], 'urls': [{'url': 'https://t.co/WYMTKXikbX', 'expanded_url': 'http://www.wymt.com/content/news/Kentucky-Coal-Mining-Museum-converts-to-solar-power-418430563.html', 'indices': [115, 138], 'display_url': 'wymt.com/content/news/Kâ€¦'}], 'hashtags': [], 'user_mentions': []}, 'favorite_count': 836, 'source': '<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>', 'possibly_sensitive': False, 'created_at': 'Fri Apr 07 16:22:03 +0000 2017', 'id': 850383177445031940, 'lang': 'en', 'retweet_count': 710}, 'retweeted': False, 'favorited': False, 'in_reply_to_user_id_str': None, 'in_reply_to_status_id_str': None, 'geo': None, 'coordinates': None, 'in_reply_to_status_id': None, 'in_reply_to_user_id': None, 'truncated': False, 'is_quote_status': False, 'in_reply_to_screen_name': None, 'id_str': '850417464387280899', 'text': ""RT @billmckibben: Kentucky Coal Mining Museum will now run on solar power--in order to save money. 'A little ironic,' says director. https:â€¦"", 'contributors': None, 'entities': {'symbols': [], 'urls': [], 'hashtags': [], 'user_mentions': [{'id_str': '21786618', 'name': 'Bill McKibben', 'screen_name': 'billmckibben', 'id': 21786618, 'indices': [3, 16]}]}, 'favorite_count': 0, 'source': '<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', 'created_at': 'Fri Apr 07 18:38:18 +0000 2017', 'id': 850417464387280899, 'lang': 'en', 'retweet_count': 710}",darren aronofsky
